Folder,File,Spots1,Spots2,Spots3,Area,DMax,Dmin,Smax,Smin
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well3_Object1.tif_projection.tif,620,1861,665,4108282,2312.2622,106.3799,3794,206
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well2_Object3.tif_projection.tif,1165,5204,1274,7192789,4392.0396,107.2361,2226,140
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well1_Object4.tif_projection.tif,802,4449,927,4280857,2223.5862,106.7115,2479,160
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well3_Object3.tif_projection.tif,244,1512,295,3026037,2714.8149,106.4588,2719,204
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well4_Object5.tif_projection.tif,621,3523,732,5846040,2363.4758,107.1971,1829,154
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well1_Object5.tif_projection.tif,478,2511,527,2167722,2982.8074,107.2888,2595,169
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well4_Object0.tif_projection.tif,511,1577,547,6127286,1911.0287,106.2306,1762,125
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well3_Object2.tif_projection.tif,263,920,276,2385985,3529.9292,107.0522,3293,253
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well4_Object6.tif_projection.tif,801,4332,898,4046916,2436.938,107.0876,3049,143
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well2_Object2.tif_projection.tif,1325,5428,1482,6826876,1997.6517,107.0497,2083,132
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well1_Object9.tif_projection.tif,818,2691,900,3358996,2953.7886,107.24,1764,145
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well2_Object7.tif_projection.tif,514,3469,608,3229461,2334.762,106.3815,2178,142
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well4_Object5.tif_projection.tif,231,488,241,2415585,1905.859,106.3554,2264,150
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate000_Well1_Object1.tif_projection.tif,633,2556,673,3781479,1910.5139,106.4401,2085,177
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well2_Object0.tif_projection.tif,167,951,190,1811644,2398.4241,106.7014,2538,177
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well2_Object2.tif_projection.tif,801,4240,1062,6917561,2224.269,106.5786,2333,146
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well2_Object9.tif_projection.tif,579,2875,657,4087785,2525.2266,106.6329,2758,146
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well4_Object7.tif_projection.tif,577,4451,692,3930007,2332.9395,106.914,2145,170
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well1_Object6.tif_projection.tif,1226,5447,1422,4986472,2350.3657,107.3059,2155,155
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well4_Object2.tif_projection.tif,415,2910,482,2995789,3233.9082,106.2718,2570,132
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well2_Object8.tif_projection.tif,147,1553,324,4100041,2475.4792,106.2888,2501,166
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well3_Object2.tif_projection.tif,245,1541,275,3627628,2404.1699,106.0029,2503,140
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well1_Object0.tif_projection.tif,282,2400,572,8329672,2435.8774,105.4851,3236,111
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well3_Object4.tif_projection.tif,947,3817,1049,4004969,1610.8276,106.5482,2460,170
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well3_Object9.tif_projection.tif,0,0,0,262689,108.3214,104.9097,385,169
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well4_Object2.tif_projection.tif,504,2706,614,2507039,2181.0071,106.9557,2168,172
