Folder,File,Spots1,Spots2,Spots3,Area,DMax,Dmin,Smax,Smin
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_143341_677/,Plate000_Well1_Object4.tif_projection.tif,225,2058,287,2905376,2013.1814,106.4135,2633,136
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_143341_677/,Plate000_Well1_Object7.tif_projection.tif,275,2133,363,3070719,2443.186,106.8163,2589,199
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_143341_677/,Plate000_Well1_Object3.tif_projection.tif,477,2782,536,4515841,1973.8571,106.2685,2136,176
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_143341_677/,Plate000_Well1_Object10.tif_projection.tif,365,2413,438,3708185,2093.0461,106.2704,2272,170
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_143341_677/,Plate000_Well1_Object2.tif_projection.tif,515,2520,642,5816902,2094.7007,105.9145,2377,140
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_143341_677/,Plate000_Well1_Object6.tif_projection.tif,295,1648,364,2967248,1993.6027,106.5896,2670,149
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_143341_677/,Plate000_Well1_Object5.tif_projection.tif,260,1957,324,2722759,1977.579,106.2374,2432,183
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_143341_677/,Plate000_Well1_Object9.tif_projection.tif,250,1650,323,3305601,2316.4973,106.5668,3600,196
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_143341_677/,Plate000_Well1_Object1.tif_projection.tif,686,4135,818,6398036,2007.2051,106.6865,4764,153
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_143341_677/,Plate000_Well1_Object8.tif_projection.tif,469,2396,544,3283295,1836.3679,106.3381,1918,138
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well2_Object5.tif_projection.tif,635,3053,732,5280988,1879.1398,105.9949,2295,152
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well2_Object2.tif_projection.tif,650,3793,777,3914000,2590.6248,105.4138,2294,109
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well1_Object4.tif_projection.tif,117,581,154,1652739,2525.1824,106.2295,3368,216
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well2_Object6.tif_projection.tif,544,3015,631,3169094,2362.5681,106.5691,2242,138
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate002_Well4_Object1.tif_projection.tif,905,4632,1015,4762208,7600.1899,106.5021,2800,131
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well4_Object4.tif_projection.tif,1558,8412,1839,12899192,3215.1931,106.4932,2178,146
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well1_Object1.tif_projection.tif,594,2552,680,2528988,2308.0786,106.6467,2177,162
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well3_Object5.tif_projection.tif,203,1176,219,3297274,2556.9031,106.2804,2787,200
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well3_Object7.tif_projection.tif,565,1864,610,2511048,1457.2286,106.6273,2594,187
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well4_Object7.tif_projection.tif,273,1211,325,1808004,2303.9385,106.2758,2194,145
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well4_Object8.tif_projection.tif,392,2519,486,2811283,2910.9448,106.1655,3088,216
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate001_Well4_Object4.tif_projection.tif,370,1828,396,2601198,2250.1887,106.1376,2901,143
S:\micro\asa\vid\smc\20200728_3PO_Screen\20200728_091910_390/,Plate003_Well2_Object3.tif_projection.tif,739,3946,846,5316392,2376.991,106.5443,2166,137
